country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Maldives,,,,,,7780,8220,8740,9230,9610,9770,9170,9590,10600,11000,9270,11400,12000,12700,11500,12000,12700,12600,13100,13700,13700,14200,15200
Mali,1270,1390,1310,1320,1330,1310,1370,1400,1460,1510,1460,1640,1640,1730,1710,1760,1780,1780,1810,1830,1870,1870,1800,1790,1870,1920,1970,2010
Malta,16200,16700,17300,17900,18800,19800,20400,21300,22300,23200,24600,24600,25100,25600,25500,26300,26700,27700,28400,27500,28400,28600,29100,30100,31800,34100,35100,36500
Marshall Islands,2910,2840,2990,3120,3270,3510,3130,2910,2810,2740,2890,3050,3130,3140,3140,3240,3280,3400,3340,3270,3480,3510,3630,3720,3690,3670,3730,3820
Mauritania,2810,2780,2760,2840,2680,2860,2940,2740,2730,2850,2750,2720,2660,2740,2820,2990,3450,3450,3390,3260,3320,3370,3460,3570,3660,3600,3570,3600
Mauritius,7390,7630,8020,8330,8550,8850,9240,9650,10100,10300,11100,11300,11400,11800,12400,12400,13400,14100,14900,15300,15900,16600,17100,17600,18300,18900,19600,20300
Mexico,13100,13400,13600,13800,14200,13100,13800,14500,15000,15200,15700,15400,15200,15300,15600,15800,16300,16400,16300,15200,15700,16000,16400,16400,16600,16900,17200,17300
"Micronesia, Fed. Sts.",2720,2850,2890,3050,2970,3140,3020,2830,2920,2970,3120,3180,3210,3270,3180,3260,3270,3220,3170,3220,3300,3410,3340,3210,3130,3270,3250,3300
Moldova,,,,,,2610,2460,2510,2340,2270,2320,2470,2670,2850,3070,3310,3480,3590,3880,3650,3910,4180,4150,4540,4760,4750,4960,5190
Mongolia,5120,4610,4130,3970,4020,4240,4300,4440,4540,4640,4660,4750,4920,5210,5710,6050,6480,7060,7580,7370,7710,8880,9790,10700,11300,11400,11400,11800
Montenegro,,,,,,,,10500,11100,10100,10400,10500,10600,10800,11300,11800,12800,13600,14600,13700,14000,14500,14100,14600,14800,15300,15700,16400
Morocco,3910,4120,3960,3860,4200,3920,4340,4210,4460,4450,4480,4750,4840,5070,5250,5360,5700,5830,6110,6290,6440,6690,6790,7000,7080,7300,7290,7490
Mozambique,379,387,354,370,378,373,459,495,540,568,562,615,650,672,703,742,792,826,858,886,918,955,994,1030,1080,1120,1130,1140
Myanmar,743,728,788,826,877,927,974,1020,1060,1160,1310,1440,1590,1800,2020,2270,2550,2840,3110,3420,3720,3900,4150,4460,4770,5060,5310,5590
Namibia,5720,5970,6200,5920,5850,5900,5900,5970,5990,6030,6110,6070,6270,6450,7160,7260,7680,8100,8210,8110,8460,8720,8970,9260,9620,9980,9830,9540
Nauru,,,,,,,,,,,,,,,,,,3980,5380,5850,6590,7340,7910,10100,12600,12300,13000,12900
Nepal,1200,1240,1260,1270,1340,1350,1390,1430,1440,1480,1540,1590,1560,1600,1650,1680,1720,1760,1850,1910,1990,2030,2100,2160,2270,2310,2300,2440
Netherlands,32100,32600,32900,33100,33900,34800,35800,37200,38600,40300,41700,42300,42100,42000,42700,43500,45000,46500,47100,45100,45500,46100,45400,45200,45700,46500,47300,48500
New Zealand,23700,22200,22200,23400,24300,25100,25500,25900,26000,27200,27600,28500,29400,30200,30700,31400,31800,32700,31900,32200,32100,32700,33400,33800,34500,35300,35800,36100
Nicaragua,3000,2930,2880,2810,2840,2950,3080,3140,3200,3370,3460,3510,3480,3530,3660,3770,3860,4010,4090,3910,4030,4230,4450,4620,4780,4960,5130,5320
Niger,895,888,803,788,792,785,783,776,827,792,753,778,773,785,758,763,778,773,816,780,814,802,863,874,904,908,917,926
Nigeria,3040,2950,2890,2870,2830,2750,2820,2820,2830,2770,2850,2900,2930,3160,4120,4150,4370,4550,4710,4900,5150,5260,5340,5480,5670,5670,5430,5340
Norway,42800,43900,45200,46200,48300,50100,52300,54800,55900,56600,58000,59000,59500,59700,61700,62900,63900,65100,64600,62700,62400,62100,63000,62900,63400,64000,64200,64800
Oman,35000,35600,36800,37400,37400,38300,38900,41000,42100,42000,44000,45400,44100,42000,41600,41500,42500,43000,44900,45600,45300,42100,43000,41900,40400,39900,39900,38000
Pakistan,3050,3120,3270,3240,3280,3360,3430,3380,3390,3430,3490,3490,3520,3620,3800,4010,4170,4290,4270,4300,4280,4310,4370,4460,4580,4700,4860,5030
Palau,,,,,,,,,,,12400,12900,13200,12800,13400,14200,13700,13700,12800,12000,11800,12500,12900,12600,12900,14000,13900,13200
Palestine,,,,,2720,2790,2860,3390,4160,4790,4200,3830,3680,3930,4160,4500,4190,4010,3610,4180,4170,4360,4840,4500,4320,4710,4740,4450
Panama,7860,8420,8920,9220,9290,9260,9440,9850,10400,10500,10600,10500,10500,10700,11300,11900,12700,14000,15100,15000,15600,17100,18400,19400,20000,20800,21500,22300
Papua New Guinea,2370,2540,2820,3240,3350,3160,3320,3100,2910,2890,2740,2670,2600,2590,2600,2700,2690,2920,2840,2970,3190,3160,3230,3280,3710,3820,3820,3820
Paraguay,6040,6090,6040,6190,6360,6640,6590,6720,6580,6360,6080,5920,5810,5950,6090,6120,6320,6570,6890,6530,7290,7500,7310,8230,8500,8640,8870,8830
Peru,5310,5320,5180,5350,5900,6230,6300,6600,6480,6480,6560,6520,6780,6980,7230,7600,8070,8650,9320,9310,9960,10400,10900,11400,11500,11800,12100,12200
Philippines,4010,3890,3810,3800,3870,3960,4100,4210,4100,4130,4220,4260,4320,4440,4650,4780,4940,5180,5310,5280,5600,5710,5990,6310,6590,6870,7230,7600
Poland,10300,9520,9730,10100,10600,11300,12000,12700,13300,13900,14700,14900,15200,15800,16600,17200,18300,19600,20400,21000,21800,22900,23200,23600,24300,25300,26000,27200
Portugal,20200,21100,21300,20900,21000,21900,22500,23400,24400,25200,26000,26300,26400,26000,26400,26600,27000,27600,27600,26700,27200,26800,25800,25700,26000,26600,27100,27900
Qatar,,,,,,,,,,,108000,108000,111000,108000,116000,110000,119000,119000,120000,117000,125000,129000,125000,123000,121000,120000,118000,117000
Romania,11400,10000,9240,9390,9770,10500,10900,10400,10200,10200,10500,11200,12000,12800,13900,14600,15900,17200,18900,18000,17600,18000,18300,19000,19700,20600,21700,23300
Russia,20600,19600,16700,15300,13400,12800,12400,12600,11900,12700,14100,14800,15600,16800,18100,19300,21000,22800,24000,22100,23100,24300,25200,25600,25300,24500,24400,24800
Rwanda,873,873,972,950,496,680,743,793,797,773,793,829,915,920,973,1040,1110,1170,1260,1310,1370,1440,1520,1550,1630,1730,1790,1850
Samoa,3650,3540,3500,3610,3480,3690,3920,3930,4000,4070,4330,4600,4770,4960,5160,5340,5410,5710,5730,5410,5400,5670,5640,5490,5510,5560,5910,6020
San Marino,,,,,,,,65400,69500,74900,75700,78900,78100,80100,82700,83600,85700,90700,91100,78400,73900,66100,60300,57800,56600,56400,56500,56900
Sao Tome and Principe,,,,,,,,,,,,2020,2020,2100,2130,2230,2370,2390,2530,2530,2640,2700,2720,2790,2900,2950,3000,3050
